         77557986 function calls (17870 primitive calls) in 18.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metrics.py:119(sensor)
       21    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/cluster.py:167(ttl)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:135(__init__)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       57    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/logging/__init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0xffff9afbd5a0}
        5    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1010(send_pending_requests_v2)
       59    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xaaaabe0eee58}
       38    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:62(decode)
      120    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:513(_send_offset_requests)
        2    0.000    0.000    0.002    0.001 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:365(_maybe_connect)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metrics.py:85(metric_name)
        2    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:232(__init__)
        2    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
        1    0.000    0.000    0.104    0.104 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:249(_retrieve_offsets)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:615(_register_send_sockets)
        1    0.000    0.000    0.026    0.026 /tmp/ipykernel_290/630567185.py:1(write_json_to_file)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/threading.py:1169(is_alive)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/vendor/six.py:589(itervalues)
       61    0.000    0.000    0.000    0.000 {method 'pack' of '_struct.Struct' objects}
       48    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:45(new_sample)
       60    0.000    0.000    0.004    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:506(_deserialize)
        2    0.000    0.000    1.172    0.586 /opt/conda/lib/python3.10/site-packages/kafka/consumer/group.py:614(poll)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:978(record_topic_fetch_metrics)
       60    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metric_name.py:42(__init__)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/coordinator/consumer.py:362(need_rejoin)
     12/5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:189(decode)
        7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/random.py:380(shuffle)
       62    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/count.py:13(update)
     11/7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:152(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'tobytes' of 'memoryview' objects}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:648(_fetchable_partitions)
       66    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/avg.py:13(update)
        3    0.000    0.000   18.818    6.273 /opt/conda/lib/python3.10/site-packages/IPython/core/interactiveshell.py:3424(run_code)
       30    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sensor.py:18(__init__)
       75    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/rate.py:113(update)
       20    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:21(_fileobj_to_fd)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/subscription_state.py:305(fetchable_partitions)
       11    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:984(update)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/ipykernel/iostream.py:90(_event_pipe)
    16/15    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/util.py:46(__call__)
        6    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/IPython/core/compilerop.py:180(extra_flags)
       10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:84(encode)
        6    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:515(send)
       61    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:9(_pack)
       17    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:999(next_check_ms)
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/cluster.py:229(update_metadata)
       57    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:18(_unpack)
       93    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:88(__init__)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:198(_read_header)
       57    0.000    0.000    0.000    0.000 {method 'unpack' of '_struct.Struct' objects}
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:146(_clean_done_fetch_futures)
       60    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metric_name.py:75(tags)
       90    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:563(_send_offset_request)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/collections/__init__.py:430(_replace)
        4    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/struct.py:46(decode)
       42    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/subscription_state.py:419(is_fetchable)
       10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/cluster.py:135(leader_for_partition)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/socket.py:220(__init__)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:947(_maybe_close_oldest_connection)
       10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/struct.py:41(_encode_self)
      9/5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:181(encode)
     10/7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/future.py:76(_call_backs)
       27    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/max_stat.py:11(update)
       10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:90(decode)
       44    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metrics.py:105(get_sensor)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:570(_send_bytes)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/contextlib.py:102(__init__)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/coordinator/consumer.py:295(time_to_next_poll)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:950(send)
       19    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:945(_can_send_recv)
      111    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/api.py:17(__init__)
     11/7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:151(decode)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/future.py:48(add_callback)
       37    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:58(encode)
       13    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/subscription_state.py:343(has_all_fetch_positions)
        1    0.000    0.000    0.022    0.022 /opt/conda/lib/python3.10/site-packages/IPython/core/interactiveshell.py:273(_modified_open)
    24/12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sensor.py:34(_check_forest)
        7    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/count.py:10(__init__)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:149(timestamp_type)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       17    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:871(connecting)
       15    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/future.py:12(__init__)
        2    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/socket.py:938(getaddrinfo)
